0 10 20 30 40 50 60 
0.468: 0.004254454280189419 0.004274512317862174 0.004235068620721761 0.004290797271163261 0.004280110577491592 0.0034198330184511596 0.004280110577491592 
0.687: 0.004210828250541122 0.004222343530421057 0.004113206048813951 0.004211322041038063 0.004284214902795258 0.004178323414427755 0.004215716296062692 
0.97: 0.004171715860676786 0.0041029527443320925 0.0041813062818002525 0.004264641394328749 0.004174269543551572 0.004150406645949609 0.00430248856929207 
1.226: 0.0041927355032246 0.0042318356930926984 0.00432039483792345 0.004121520701014241 0.004175783040341062 0.004208223826277548 0.004262178355410924 
1.455: 0.004167616411758115 0.00415560118661816 0.004109396873832789 0.004231674097407158 0.004243025636919437 0.004211035449334947 0.004243025636919437 
1.575: 0.004258165684892973 0.004259102552833825 0.004268050179336387 0.00432606671495277 0.004319020670887739 0.004076414055951086 0.004319020670887739 
1.709: 0.004284876297968113 0.004269956739307271 0.00425540439389203 0.004211966603223095 0.004331639412508853 0.0033910822756164495 0.004331639412508853 
1.973: 0.004311659850529341 0.00432123439154447 0.004433867185902421 0.0041547954087883705 0.0024271107423345074 0.002063388706337363 0.002256243461055471 
2.473: 0.002723574428332498 0.002399211884487626 0.0022505554623001196 0.002258499403487979 0.0023707644336795754 0.0022953470809928163 0.002359763735819521 
2.992: 0.002344191402879322 0.0023043003035387796 0.0024050178793514087 0.002333285499509684 0.0023985178525265634 0.001987977049125096 0.0022448281052726933 
3.489: 0.002296695960142164 0.002305592331701339 0.0023322870034939254 0.0023032837428332634 0.002361475527433363 0.00230961562458634 0.0023508634583913894 
3.739: 0.0023243503034898467 0.002455770324946714 0.0022640769274327533 0.0023153789226723867 0.0023281228489922976 0.002211717884360481 0.002446469542467726 
3.964: 0.00239208302995992 0.002283292724699718 0.002362087965245069 0.0023021129424943545 0.0023355890049407326 0.0022504280827335002 0.0024347931465869242 
4.227: 0.002343262469293637 0.002309240471574027 0.002394665924276066 0.0021420686782225484 0.0022155942017135174 0.002354796523410614 0.002463001872151552 
4.472: 0.0022717094640135565 0.002295128754558184 0.0021768759470600745 0.0020695167444491867 0.002400173234488601 0.002366176005475649 0.0026316289632089054 
4.99: 0.0023174065724904723 0.002187739167877842 0.002289585090991091 0.002386431552665041 0.0023927685266699663 0.002468495808292053 0.0027082076893932905 
5.473: 0.002305445510091226 0.0023354070784816685 0.0024020540978272583 0.0023626515236534846 0.002428751393892182 0.002531086371940332 0.0028345336869090697 
5.974: 0.002204897352108061 0.0023712357537790394 0.0023351170325180033 0.002465255812734675 0.0025133841727838007 0.0026122455006287993 0.0029573669971032827 
6.466: 0.0023460046177845675 0.0025039350364309933 0.0024305663720394165 0.0025781230037029024 0.0025562193437444264 0.002832108284182177 0.0031076404768462626 
6.978: 0.0023398480482477936 0.0023759156129795895 0.0025061873433564674 0.0025511303812667686 0.0025178385571756148 0.002779483385251482 0.002991511528010935 
7.444: 0.002330770020591701 0.002428357446688807 0.002549400779268185 0.0025576801772091767 0.0028625533279845582 0.0029198285908593855 0.0031979909665635596 
7.963: 0.002534835607205235 0.0025998126214530483 0.002773780092220702 0.002727626481434417 0.0028955533725582533 0.003200412733799619 0.003537079711978355 
8.447: 0.002652289216546633 0.002746199882284638 0.002952508044505412 0.003010810179463334 0.003251473202784828 0.0035346318997409804 0.004132980146200695 
8.936: 0.0027628385569933027 0.0029734715643134854 0.0030720876000240463 0.0031827551831009877 0.0034525965108403206 0.003760653843859265 0.004207567898186651 
9.441: 0.002731203579456259 0.0028412326000734024 0.0031572196265084044 0.0032060877390553515 0.003444288901800114 0.0036093105529080446 0.004565194288155788 
9.914: 0.002810358476336492 0.003082734578759254 0.003180230401538277 0.0032651889942798655 0.0034532206231989767 0.0038980934825584533 0.004736347772690797 
