0 10 20 30 40 50 60
0.483: 0.001814098368029941 0.0023035190229058014 0.002554456758947647 0.0031805240483640733 -1 -1 -1
0.686: 0.0038249177768939963 0.0036380456291805574 0.0023712584328907447 0.002709271960426907 -1 -1 -1
0.964: 0.0029066944952796303 0.0022840490119279177 0.0026968079691038873 0.004299917815752091 -1 -1 -1
1.23: 0.0032216069834099218 0.0024558849050121782 0.0030796807193820175 0.003095178709096174 -1 -1 -1
1.465: 0.0024112214516482902 0.0023180825169858733 0.002610060791118351 0.003115904987140799 -1 -1 -1
1.582: 0.003346169883447178 0.0024421279427763202 0.0031697772617155467 0.0034026619481419764 -1 -1 -1
1.707: 0.0028330073341866877 0.0023572805423953186 0.002929549377558872 0.0032278165306527996 -1 -1 -1
1.971: 0.004140353769103959 0.0022716660308142924 0.00321706216173446 0.007717860508194973 -1 -1 -1
2.471: 0.003808047106169027 0.0022865542975305853 0.0033431019361598265 0.004855469756424766 -1 -1 -1
2.964: 0.002274471269450457 0.0024891547873837714 0.00328792050120167 0.006370446269035374 -1 -1 -1
3.481: 0.0040601987621623195 0.002450251687752368 0.004546209408814747 0.0056393104385396384 -1 -1 -1
3.741: 0.004220254020790691 0.002755865482122736 0.00438030062307777 0.006222882523541005 -1 -1 -1
3.965: 0.004260625395452714 0.0026919186878920066 0.004148270492200908 0.006629720925918047 -1 -1 -1
4.221: 0.0041536040441471495 0.002894236399006365 0.0065056637945614575 0.008475873468485747 -1 -1 -1
4.471: 0.004294715926448329 0.0029368599255364786 0.005570313410067538 -1 -1 -1 -1
4.989: 0.00445965539276548 0.0029550692979278103 0.005582475763963139 -1 -1 -1 -1
5.473: 0.004201056163500898 0.003244380423645363 0.006163192433816584 -1 -1 -1 -1
5.951: 0.003775533869534221 0.003294528190803654 0.006912951482735331 -1 -1 -1 -1
6.477: 0.002262728343296158 0.0029333257575659384 0.003298312278861504 -1 -1 -1 -1
6.979: 0.0023325831174901444 0.0029928826498136453 -1 -1 -1 -1 -1
7.443: 0.004163190429893357 0.00521570678069828 -1 -1 -1 -1 -1
7.97: 0.002315601353800872 0.004030328160158395 -1 -1 -1 -1 -1
8.457: 0.002382028244222034 0.004865696109129979 -1 -1 -1 -1 -1
8.934: 0.0022741855440770657 0.008263239695676222 -1 -1 -1 -1 -1
9.429: 0.004376436801498788 0.0075760738607292275 -1 -1 -1 -1 -1
9.922: 0.0023972776221197955 0.007561298412381436 -1 -1 -1 -1 -1
