0 10 20 30 40 50 60 
0.471: 0.002516041666321649 0.002622128310041099 0.0028104495646804266 0.003223438758894832 0.0034285140296712964 0.004208425200317416 0.004241817011088002 
0.687: 0.002513144024700672 0.002573410966013744 0.002474826840182705 0.0025207472437089947 0.0025241010721090496 0.0032716613346874435 0.004143516005627171 
0.982: 0.0025569095712511163 0.0025399551833316554 0.002522067141585782 0.0025149547157398747 0.0028850896410043923 0.004035614561487372 0.004147569556043907 
1.229: 0.0025229937904534534 0.0025867843401068892 0.0029855071409877606 0.003865970971897693 0.004134010683746883 0.004157467193732379 0.004247731734571866 
1.459: 0.003584438573736326 0.003934539913806105 0.0041575633756110375 0.004254329820573654 0.004251851936378889 0.003784190317006303 0.004129240325612776 
1.708: 0.004130547252402178 0.004077701032653467 0.004074822368316606 0.004188015690017165 0.004204746405353521 0.004222532560232336 0.004262581168989309 
1.969: 0.0042065129264035345 0.004251915333117538 0.004119350960203968 0.004219728216629866 0.004343777145398796 0.004209170926547046 0.004422987979484765 
2.476: 0.004258562929231204 0.004160634513575494 0.004210156489569797 0.0042175555716552245 0.004300987470595824 0.004252659507753816 0.002364510849109301 
2.998: 0.004300758796098879 0.004290678216267824 0.004264873529452175 0.004400333813094913 0.003429680111419494 0.00239331381143385 0.002427663806122165 
3.492: 0.004332240836641778 0.00433067995687615 0.0038394006332007216 0.0027169491877635232 0.0022985444428062205 0.002295595396018685 0.0025005243894475884 
3.743: 0.003809631069918561 0.003080418369853902 0.002400712024009172 0.0022967451365404528 0.002268896550210162 0.002390376167514692 0.002471556504625287 
3.966: 0.0026672482490803628 0.0023142064634676736 0.00222608353142664 0.0022141692949426152 0.002359199487585193 0.002196072128707328 0.0023456864430031798 
4.229: 0.0023369752292701543 0.00229752320747558 0.00223893603203741 0.0023055324523608496 0.0023787279280227283 0.002146211202099574 0.0023192871510205166 
4.476: 0.0021911232786455204 0.002190613282977128 0.0022663179878874926 0.0022848170361954457 0.0023967196099854487 0.0023292905532148085 0.0023513094224283265 
4.995: 0.002317969513748345 0.002329606166047964 0.0023458695825219708 0.002344678766102371 0.0023536811216352165 0.0023424070241242424 0.0024122566657267023 
5.476: 0.002366244952210024 0.002377969257647258 0.0023224295890335468 0.0023689576552093122 0.002270741410983577 0.002328442875018005 0.0025021245528781383 
5.975: 0.0022809787129407463 0.0022299759839264958 0.0023545451415821323 0.0022627754835354494 0.00224808360362526 0.0024069200005170594 0.0026484106554686797 
6.467: 0.002385406084877968 0.002230653093204362 0.002301245653022603 0.0022860125157623465 0.0024153392906358117 0.002605252045814782 0.0026865379621777694 
6.983: 0.002192509977172249 0.002327062430523858 0.002337794758599041 0.0022961343359849617 0.002292348989331406 0.0025646155440707 0.0027440437314299416 
7.45: 0.002180095793002337 0.0022631963385147543 0.0021899495427976996 0.002301205384623956 0.0026486323305099117 0.002872569871502957 0.002935556657414197 
7.964: 0.002358314275541351 0.002349004517284312 0.0023757506182257577 0.0025419739486382416 0.0027367009275620128 0.0027827482618607152 0.003071372747739289 
8.458: 0.0025185776409182977 0.0025742461190884345 0.0026150097505414317 0.002725540435612548 0.0026944261234447433 0.003061390157829202 0.0033640460659413243 
8.932: 0.0024819557223239195 0.0025855250164344584 0.0026469805724470977 0.0026687079393181534 0.002889257327438455 0.003101566410833903 0.00356783115851564 
9.436: 0.002593626019747213 0.0025939113275255123 0.0026538981144418787 0.0027735406507105043 0.0029937490341507165 0.003141099994465347 0.003694579614673052 
9.921: 0.002640372006618352 0.002686310977282244 0.002672368716243335 0.0028186057089813954 0.0030883842593391678 0.003334797328427255 0.0037189890502065527 
