0 10 20 30 40 50 60 
0.471: 0.0020910375751166865 0.0021603439764367196 0.0021820030197904606 0.002180647304509968 0.002332104819447187 0.0023965862527075173 0.0024602165893812433 
0.689: 0.002451405668597752 0.002483506839576251 0.002306069286807192 0.0023448154630067233 0.002305194038590992 0.002129197198846023 0.0021345162345495407 
0.978: 0.00258200161373562 0.0023406346717646212 0.002392118168764525 0.0024278165544831085 0.002349682508103786 0.002321333708693352 0.0023424997094746666 
1.227: 0.002202142290286138 0.0022816893351686237 0.002291185985951868 0.0023201249008524437 0.0022724368711436933 0.002162214502669789 0.0024172987449262943 
1.458: 0.0023123159145949103 0.0023462838466155166 0.0022086435253843547 0.0022992624662897675 0.002307095119168018 0.002336492504208443 0.0025050026391647234 
1.574: 0.0023677367533856777 0.0023581340080665505 0.002144839776455732 0.002284730740274568 0.0024844867791066158 0.002443926787083506 0.002502238442319642 
1.707: 0.0023301615585381414 0.00226433014377321 0.0023141783038958404 0.0024614042739867026 0.0024641969392797283 0.002603361907653686 0.0026547044196210574 
1.97: 0.0021588317571213283 0.0022027191277045667 0.00225808729287028 0.002449511856132431 0.0025500741601416697 0.002547410603113762 0.0026515893766234297 
2.477: 0.0024435001989404933 0.002452257712576083 0.0024823017991820098 0.0026003444002670145 0.002774886884581466 0.0029474508571909327 0.003041693607186634 
2.992: 0.0025589693889011937 0.002592116166806988 0.0027656188979844638 0.0027904072980281295 0.003185988491295387 0.0032308408090361436 0.0035907022525777177 
3.486: 0.002622458558087986 0.002759405712991274 0.002907844390609653 0.003157746717729807 0.003436030898192462 0.003763254560734446 0.003992476132260084 
3.739: 0.002604733383669047 0.002857310312553089 0.0031500898752610577 0.0033070456604044683 0.003597344699759658 0.003978404984692008 0.004477349166142344 
3.965: 0.002927743993058292 0.0029889788482951075 0.003166490784589292 0.003551726325167652 0.003801180503767508 0.004316177308169303 0.004708960536395838 
4.225: 0.002948916109729509 0.003098168473290116 0.0033579974025534304 0.0037046187238215073 0.004172822971988541 0.004588881054607229 0.004900080679607902 
4.473: 0.003051781556184282 0.003106613089666752 0.003371038596964182 0.0038520562906928964 0.004386823591418075 0.004851541430895407 0.0055508735548760344 
4.986: 0.0027019044929251397 0.0029600270081350227 0.0033013717687584974 0.0035043382478800703 0.0038683217147606357 0.0036825207591289627 0.003823450666609933 
5.476: 0.0024344926690289506 0.002568429675891474 0.00274109465157423 0.0028691669522703167 0.003043751413415139 0.0031659563940282984 0.0034973576692507074 
5.975: 0.002386147429551536 0.002681208351139909 0.0027882366988634297 0.002974170584661654 0.003123366488618052 0.0035521547007885566 0.0035770214669112385 
6.464: 0.0026825274702897335 0.0029496388479495887 0.0031160885560087945 0.0032549960061419476 0.0033825158125605796 0.0036419771034730797 0.004423374830249964 
6.984: 0.0025913033828987068 0.00310030018259881 0.0032853256053751016 0.003421145941867375 0.0038523453750785364 0.004146232774727238 0.004658178900242752 
7.427: 0.003298033353378948 0.003963176389196541 0.004288629206003363 0.005052049869992265 0.005546158269969879 0.006199316082350444 0.007691384241835516 
7.954: 0.003721828941080813 0.0040394745395355034 0.004539572067448172 0.007602784394914534 0.008364190196879425 0.00939058787522741 0.010183044560910523 
8.425: 0.004725912010748139 0.0068488724051644165 0.007697469459840286 0.008213874960686887 0.009147602146966666 0.010397897200160723 0.01204163941876043 
8.924: 0.005626355352762183 0.008318956030734325 0.008306922575645071 0.008702628392732616 0.009507672143877396 0.009850547266288635 0.010326181426123262 
9.452: 0.004897563974966487 0.0065125236531880385 0.007983072900077161 0.00858858928766984 0.008807506459104785 0.008822711585240955 0.009883526677534457 
9.905: 0.005342758172413328 0.007334390196570913 0.00829848435960848 0.009632763945110591 0.00975233961103122 0.008737242121452785 0.00975233961103122 
