0 10 20 30 40 50 60 
0.254: 0.00038021161300884994 0.00039425146152205086 0.00020876116071296 0.0004042171667072983 7.950424569354486e-05 0.000526107297885982 0.0005261786768769715 
0.314: 4.830343903100716e-05 0.00023184261903282598 0.0002362475161539037 0.0004332049809911653 0.00040265562898779373 0.00013711534191115452 0.0004994859579830275 
0.415: 0.000419394272201655 0.0003612679830203 0.0004250359461922672 0.00038639300660798175 0.0003345164005280196 0.00038166870450693266 0.00046984997605618796 
0.523: 0.0005005592428030432 0.00019172202099219953 0.00044151053844223914 0.0004886439285296496 0.0005519902374337999 0.0003480483682861721 0.0004990172564373126 
0.621: 0.001198460818438941 0.0018465917854854192 0.0008913956597506091 0.0007369588410035761 0.0011994969315879435 0.0007379463997397711 0.0010584055093499013 
0.714: 0.009340567291836908 0.006723715209779651 0.007112748171807829 0.006104542561805016 0.00913753036778659 0.0037426753191128668 0.0037672659700224128 
0.795: 0.010574387636789494 0.009950509009219021 0.006791613917956324 0.006791613917956324 0.008601359065571385 0.009412885072659269 0.01671046699390869 
0.907: 0.007676631205591863 0.008137870073510233 0.008413798085420301 0.007542202146735549 0.010350084036159115 0.010982678235395154 0.016545923719766636 
1.109: 0.008509759216829463 0.008252698804731841 0.00897465946025749 0.008969464933646826 0.009578025662294506 0.010582917795152677 0.012216878167241797 
1.199: 0.007430436229050696 0.008525527691335846 0.007949652012541115 0.008882684125601586 0.008607727857702162 0.010135641076157107 0.013951214847989576 
1.294: 0.0073967466614522515 0.007755675210002237 0.0074937699223946285 0.00717323633568187 0.008312174637534704 0.00863647275773497 0.013008100404858098 
1.39: 0.006140511204074894 0.0059993272225967766 0.006561785425923306 0.006453540728933699 0.007416448545977224 0.008610020434822238 0.011547505566524702 
1.491: 0.005886031678082319 0.006710365609910325 0.006034459827376883 0.007307236242166146 0.008301181166460747 0.009042463404522525 0.012864959953952272 
1.597: 0.009743240813632786 0.00844187334647808 0.008990716841501297 0.01045419845489059 0.010108831602449438 0.01072589955026523 0.012037290469281297 
1.72: 0.008736736417691338 0.008951888789519686 0.009592545655442576 0.010045160354027468 0.010395957685794845 0.011853210655002477 0.015423135984905613 
1.829: 0.010901570078540652 0.008524136793283246 0.00786331494789957 0.009810627690085904 0.012371930073506301 0.012358307868789655 0.013978736045569599 
1.922: 0.006763232946519657 0.006132001440530387 0.006135025527430368 0.0055988752027951024 0.006434534430192553 0.006541494825768467 0.010249279649484326 
1.973: 0.006602625805426147 0.008022750861866148 0.008484517367886782 0.007656280198922192 0.01018550765851297 0.014764357191696312 0.015905929436591314 
2.11: 0.007252669209792121 0.0070314351229950915 0.00679322190782025 0.006952486933145262 0.008148875900236675 0.00844323377924307 0.007960496191384048 
2.186: 0.007059432452793615 0.007221996836246718 0.006726940859955098 0.007948323065625585 0.008769840342380283 0.007896109697205746 0.008960774350010333 
2.295: 0.0069816997612011135 0.0077257818806038565 0.008772167501060774 0.007529014979102885 0.009142923377612255 0.009050720495158556 0.009358181759422384 
2.391: 0.006940528117914053 0.00708531200598973 0.007320732196227936 0.007483952246121175 0.007840086705869739 0.009263495588768916 0.01157404236874749 
2.503: 0.01140229976315691 0.009833851280144483 0.010113726376673517 0.01155298748761064 0.0111612923933068 0.012365448096241028 0.01556747350441895 
2.675: 0.011157730708148314 0.011223758327761707 0.011733295639144008 0.01328066631109549 0.014520481898186293 0.016377257126881786 0.02016354730420441 
2.702: 0.007944158098180637 0.008079197869975858 0.009004783296794118 0.00986645925457671 0.011725465690822983 0.0131220355763375 0.015270853774429261 
2.816: 0.009093455497713123 0.01159330323457853 0.01067301061348464 0.010206157531390342 0.011102803229615286 0.0121473149799543 0.014669472822459846 
2.898: 0.009576632517968668 0.011160072799443964 0.014988748001973569 0.014829842170822005 0.009261385150527095 0.012995102149998255 0.015197917397532549 
3.029: 0.011111219235029475 0.011878429581949498 0.011573735203276201 0.013715711343808086 0.01195774721105189 0.014837470849919852 0.01504665383251558 
3.202: 0.01443287247532136 0.015664273998142696 0.016660307716912747 0.018392764371410356 0.024025906663433124 0.020801393540391063 0.02667716425876053 
3.302: 0.01582316664472276 0.01716646277872451 0.017534252114710304 0.019436287571333064 0.02247249142099441 0.023385367922889044 0.031146687892401454 
3.401: 0.016887248312130537 0.01902255002183812 0.018712007526363032 0.02207871926388245 0.024468637011942906 0.03068825702005062 0.03207439601752289 
3.501: 0.018613854550367077 0.01947732527553226 0.02053846809174323 0.02278726119762725 0.02662469179581656 0.03205469962250291 0.039648357565814335 
